Año,Entidad,Ley,Concepto,Tipo,Total
2012,Hidalgo,Codigo penal federal,Contra la salud,Transporte,0.0
2012,Hidalgo,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Hidalgo,Codigo penal federal,Contra la salud,Comercio,41.0
2012,Hidalgo,Codigo penal federal,Contra la salud,Suministro,0.0
2012,Hidalgo,Codigo penal federal,Contra la salud,Posesion,20.0
2012,Hidalgo,Codigo penal federal,Contra la salud,Otros,27.0
2012,Hidalgo,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,24.0
2012,Hidalgo,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,60.0
2012,Hidalgo,Codigo penal federal,Otros delitos,Contra la integridad corporal,5.0
2012,Hidalgo,Codigo penal federal,Otros delitos,Electorales,77.0
2012,Hidalgo,Codigo penal federal,Otros delitos,En materia de derechos de autor,81.0
2012,Hidalgo,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",70.0
2012,Hidalgo,Codigo penal federal,Otros delitos,Patrimoniales,588.0
2012,Hidalgo,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,34.0
2012,Hidalgo,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,280.0
2012,Jalisco,Codigo penal federal,Contra la salud,Produccion,134.0
2012,Jalisco,Codigo penal federal,Contra la salud,Transporte,41.0
2012,Jalisco,Codigo penal federal,Contra la salud,Trafico,3.0
2012,Jalisco,Codigo penal federal,Contra la salud,Comercio,196.0
2012,Jalisco,Codigo penal federal,Contra la salud,Suministro,9.0
2012,Jalisco,Codigo penal federal,Contra la salud,Posesion,2479.0
2012,Jalisco,Codigo penal federal,Contra la salud,Otros,431.0
2012,Jalisco,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,60.0
2012,Jalisco,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,85.0
2012,Jalisco,Codigo penal federal,Otros delitos,Contra la integridad corporal,22.0
2012,Jalisco,Codigo penal federal,Otros delitos,Electorales,116.0
2012,Jalisco,Codigo penal federal,Otros delitos,En materia de derechos de autor,24.0
2012,Jalisco,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",281.0
2012,Jalisco,Codigo penal federal,Otros delitos,Patrimoniales,942.0
2012,Jalisco,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,34.0
2012,Jalisco,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,474.0
2012,México,Codigo penal federal,Contra la salud,Produccion,17.0
2012,México,Codigo penal federal,Contra la salud,Transporte,5.0
2012,México,Codigo penal federal,Contra la salud,Trafico,1.0
2012,México,Codigo penal federal,Contra la salud,Comercio,30.0
2012,México,Codigo penal federal,Contra la salud,Suministro,0.0
2012,México,Codigo penal federal,Contra la salud,Posesion,37.0
2012,México,Codigo penal federal,Contra la salud,Otros,66.0
2012,México,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,106.0
2012,México,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,142.0
2012,México,Codigo penal federal,Otros delitos,Contra la integridad corporal,28.0
2012,México,Codigo penal federal,Otros delitos,Electorales,506.0
2012,México,Codigo penal federal,Otros delitos,En materia de derechos de autor,28.0
