Año,ile,Entidad
2017,6.23,Guerrero
2017,6.28,Hidalgo
2017,6.48,Jalisco
2017,6.45,México
2017,6.13,Michoacán de Ocampo
2017,6.31,Morelos
2017,6.44,Nayarit
2017,6.42,Nuevo León
2017,6.31,Oaxaca
2017,6.29,Puebla
2017,6.11,Querétaro
2017,6.29,Quintana Roo
2017,6.14,San Luis Potosí
2017,6.32,Sinaloa
2017,6.43,Sonora
2017,6.23,Tabasco
2017,6.14,Tamaulipas
2017,6.48,Tlaxcala
2017,6.1,Veracruz de Ignacio de la Llave
2017,6.2,Yucatán
2017,6.08,Zacatecas
